video_id,channelTitle,title,description,tags,publishedAt,viewCount ,likeCount (Million),favoriteCount,commentCount,duration,definition,caption
101,Luis Fonsi,Despacito,Music video by Luis Fonsi performing Despacito. (C) 2017 Universal Music Latino,#LuisFonsi #Despacito #Calypso,1/13/2017,"8,478,862,268",53,4003,"4,261,032",4.41,FHD,Luis Fonsi - Despacito ft. Daddy Yankee
102,Wiz Khalifa,See You Again,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,#SeeYouAgain,4/7/2015,"6,315,808,260",43,3992,"2,225,249",3.57,FHD,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack
103,officialpsy,GANGNAM STYLE,GANGNAM STYLE,#PSY,7/15/2012,"5,203,720,189",28,3477,"5,380,586",4.12,FHD,PSY - GANGNAM STYLE(?????) M/V
104,Justin Bieber, Sorry,"©: 2015 Def Jam Recordings, a division of UMG Recordings, Inc.",#JustinBieber #Vevo #Pop,10/23/2015,"3,822,471,962",16,3570,"876,862 ",3.25,HD,Justin Bieber - Sorry (PURPOSE : The Movement)
105,Mark Ronson,Uptown Funk,"Uptown funk you up, uptown funk you up (say whaa?!)",#BrunoMars #HappyNewYearMusic #UptownFunk,11/19/2014,"5,267,721,448",21,3216,"616,563",4.3,HD,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars
106,Ed Sheeran,Shape of You ,The official music video for Ed Sheeran - Shape Of You,#ShapeOfYou #EdSheeran #divide,1/30/2017,"6,288,504,470",33,3679,"1,168,733",4.23,FHD,Ed Sheeran - Shape of You (Official Music Video)
107,Taylor Swift,Shake It Off,Follow Taylor Swift Online,https://store.taylorswift.com,8/19/2014,"3,449,854,219",13,2987,"585,062 ",4.01,HD,Taylor Swift - Shake It Off
108,Enrique Iglesias,"Bailando ft. Descemer Bueno, Gente De Zona","Official Music Video for Enrique Iglesias - Bailando (Español) ft. Descemer Bueno, Gente De Zona.",#EnriqueIglesias #Bailando,4/11/2014,"3,548,493,796",10,2678,"283,254",4.46,HD,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona"
109,Maroon 5 ,Sugar,usic video by Maroon 5 performing Sugar. (C) 2015 Interscope Records,http://smarturl.it/M5V,1/14/2015,"4,069,942,729",16,2237,"425,201",5.01,HD,Maroon 5 - Sugar (Official Music Video)
110,Katy Perry,Roar,"Music video by Katy Perry performing Roar. (C) 2013 Capitol Records, LLC",http://katy.to/smileID,9/6/2013,"4,020,660,979",16,3132,"785,924",4.29,FHD,Katy Perry - Roar
